Snack,Drink
Milk,Cookie
Milk,Fruit
Milk,Fruit
Milk,Cookie
Water,Cookie
Water,Cookie
Milk,Fruit
Milk,Fruit
Water,Fruit
Milk,Fruit
Milk,Cookie
Milk,Cookie
Water,Fruit
Milk,Cookie
Milk,Fruit
Water,Fruit
Milk,Cookie
Water,Fruit
Milk,Fruit
Milk,Cookie
Water,Cookie
Milk,Cookie
Water,Fruit
Milk,Cookie
Milk,Fruit
Water,Cookie
Milk,Cookie
Milk,Cookie
Milk,Cookie
Milk,Cookie
Milk,Cookie
Milk,Fruit
Water,Cookie
Milk,Cookie
Water,Cookie
Water,Cookie
Milk,Cookie
Water,Cookie
Water,Fruit
Milk,Cookie
Milk,Cookie
Milk,Cookie
Milk,Fruit
Milk,Fruit
Milk,Fruit
Water,Fruit
Milk,Cookie
Milk,Fruit
Milk,Cookie
Milk,Cookie
Milk,Cookie
Water,Cookie
Milk,Cookie
Water,Cookie
Water,Fruit
Milk,Cookie
Milk,Fruit
Milk,Cookie
Milk,Fruit
Milk,Fruit
Water,Cookie
Milk,Cookie
Milk,Cookie
Water,Fruit
Water,Cookie
Milk,Cookie
Water,Fruit
Milk,Cookie
Milk,Fruit
Milk,Fruit
Milk,Cookie
Milk,Fruit
Milk,Cookie
Milk,Fruit
Water,Cookie
Milk,Cookie
Milk,Cookie
Milk,Fruit
Milk,Cookie
Water,Fruit
Water,Cookie
Water,Cookie
Water,Cookie
Milk,Cookie
Water,Cookie
Water,Cookie
Milk,Fruit
Water,Fruit
Milk,Fruit
Water,Fruit
Water,Cookie
Milk,Cookie
Milk,Cookie
Milk,Cookie
Milk,Cookie
Milk,Cookie
Milk,Cookie
Water,Fruit
Milk,Fruit
Milk,Cookie
